word,count
croissant,3
merritt,3
songlines,3
gunderson,3
gaear,3
sportscaster,3
muslims,3
assassinating,3
bergotte,3
irrationalities,3
wannabe,3
debilitating,3
sociopathic,3
pittsburgh,3
pynn,3
eustacia,3
anytime,3
doozie,3
fastballs,3
oyly,3
arranging,3
hogtied,3
flanders,3
belmont,3
landfill,3
rosie,3
jhumpa,3
cognomina,3
estaban,3
boustrophedonically,3
taht,3
tompkinsville,3
haffenden,3
balwhidder,3
wisconsin,3
canadensis,3
pilipino,3
personalities,3
usura,3
megachurch,3
skateboard,3
resolving,3
priorities,3
mendelssohn,3
eruvim,3
kettering,3
klugman,3
aggasiz,3
salerino,3
bayonne,3
maudelen,3
thinnest,3
decaf,3
hebron,3
atvs,3
hampson,3
cunninghams,3
mccavish,3
commodities,3
pareidolia,3
funnier,3
manlius,3
belfast,3
matilda,3
xfinity,3
chicolini,3
typing,3
emerging,3
vassailes,3
angibault,3
falwell,3
noticing,3
mutinies,3
prokhorov,3
mondegreens,3
pazzo,3
eggcorns,3
honeyseed,3
ogilvy,3
fontybell,3
bigfoot,3
caregiving,3
stonewalk,3
antebellum,3
mcateer,3
acknowledging,3
dalhart,3
daylily,3
dehaven,3
felco,3
kaplan,3
gerstner,3
charlemagne,3
jacqueline,3
baddest,3
lizabeth,3
kaboodle,3
descartes,3
timberlake,3
lucasta,3
gaskell,3
allington,3
crosbie,3
bristling,3
thailand,3
fraternities,3
noumpere,3
tsina,3
kabaeva,3
groce,3
pipchin,3
ferdinand,3
subprime,3
goetschius,3
jeffress,3
giordani,3
pazyryk,3
oorts,3
